Validation results on test dataset:
R2 of lnk within 500-2000K is 0.8708
Average RMSE of lnk within 500-2000K is 4.4341
Average NRMSE of lnk within 500-2000K is 23.27%

	R2 score	RMSE	MPE	NRMSE
lnA:	0.7928	7.3807	72.15%	31.65%
n:	0.7461	0.9898	101.98%	57.53%
E:	0.9614	4103.3518	133.54%	21.60%
lnk(500K):	0.9184	5.0726	76.62%	30.39%
lnk(1000K):	0.7325	4.1852	28.81%	20.92%
lnk(2000K):	-0.0129	4.1657	13.57%	16.64%

Details:
Temp.:	2000	1666	1428	1250	1111	1000	909	833	769	714	666	625	588	555	526	500
RMSE:	4.1657	4.1320	4.1205	4.1272	4.1494	4.1852	4.2333	4.2926	4.3620	4.4408	4.5282	4.6236	4.7262	4.8356	4.9512	5.0726
NRMSE:	16.64%	17.27%	18.05%	18.97%	20.03%	20.92%	21.77%	22.72%	23.63%	24.55%	25.50%	26.49%	27.50%	28.49%	29.44%	30.39%
	Truth						Prediction
Rxn.	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)
C3H6OOH2-1=OH+C3H6O1-2	42.5385	-2.0000	14250.7988	15.7667	21.5517	23.7510	26.6193	0.0911	15980.8672	11.1018	19.2068	23.2909
O2+C3H6OOH1-2=C3H6OOH1-2O2	52.5515	-3.2800	2694.8804	29.4553	28.5379	26.9425	45.3297	-2.8165	865.7266	26.9550	25.4384	23.7040
C3H6OOH1-3O2=C3KET13+OH	12.0257	1.4800	16237.8984	4.8809	14.0780	19.1895	9.5433	0.6157	11453.0234	1.8429	8.0331	11.3415
C4H10=NC3H7+CH3	63.7125	-2.7300	98193.5000	-52.0791	-4.5585	18.2556	63.2879	-2.6211	94407.9375	-48.0170	-2.3259	19.6112
C4H10+HO2=PC4H9+H2O2	3.0350	3.5900	15600.0000	9.6449	19.9836	26.3971	9.5147	2.9617	9634.8730	18.2237	25.1251	29.6023
C4H10+O2=SC4H9+HO2	31.3199	0.0000	49800.0000	-18.8008	6.2596	18.7897	30.1266	-0.2645	44799.8672	-16.6052	5.7556	16.8444
C4H10+O=SC4H9+OH	31.6599	0.0000	5200.0000	26.4265	29.0432	30.3516	19.4602	0.9302	4529.2139	20.6824	23.6063	25.3907
C4H10+HO2=SC4H9+H2O2	4.8395	3.3700	13720.0000	11.9743	21.2144	27.0024	6.0041	3.8137	9245.3672	20.3997	27.6956	32.6652
C4H10+CH3O2=SC4H9+CH3O2H	4.8363	3.3700	15220.0000	10.4615	20.4564	26.6218	0.1185	4.2922	10797.5488	15.9255	24.3341	30.0260
PC4H9+O2=PC4H9O2	38.7678	-1.6270	198.7002	28.4566	27.4289	26.3511	40.7354	-2.1240	1327.0259	26.1999	25.3954	24.2570
NC5H12+OH=C5H11-2+H2O	23.3702	0.9350	504.6997	28.6729	29.5749	30.3500	18.4525	1.7919	1727.1558	27.8500	29.9611	31.6377
NC5H12+O2=C5H11-3+HO2	30.2701	0.0000	50160.0000	-20.2129	5.0286	17.6493	29.4433	-0.4057	49183.1172	-22.5781	1.8906	13.9843
NC5H12+H=C5H11-3+H2	14.0779	2.4000	4471.0000	24.4931	28.4066	31.1951	16.2413	1.9917	5825.8350	22.7555	27.0678	29.9141
C5H11-2=C3H6+C2H5	27.2857	0.6900	29636.7109	1.7462	17.1383	25.0734	20.9403	0.4340	29451.6055	-6.0040	9.1174	16.8285
C5H11O2-2=C5H10OOH2-1	20.4072	1.1000	33500.0000	-6.4725	11.1479	20.3393	23.2193	1.1977	34419.5156	-3.9783	14.1725	23.6630
C5H11O2-2=C5H10OOH2-3	21.2633	0.9000	29500.0000	-2.8335	12.6353	20.6816	22.6113	0.7781	26932.1289	0.3416	14.4338	21.7495
C5H10OOH1-3=OH+CH2O+C4H8-1	20.6290	1.4000	25500.0000	3.6652	17.4677	24.8542	22.4963	1.4592	23011.6367	8.4050	20.9964	27.7978
C5H10OOH3-1=OH+C2H5CHO+C2H4	42.5766	-1.7300	26820.0000	4.8327	17.1299	22.6789	21.7964	1.4393	20489.1309	10.1198	21.4280	27.5809
C5H10OOH1-3O2=NC5KET13+OH	9.3038	2.4000	19900.0000	4.1908	15.8684	22.5390	17.4533	1.5523	22971.3418	3.9811	16.6167	23.4725
CJOCOCO2H=C3H6O3_15+OH	46.8138	-2.4799	17501.3262	13.7884	20.8765	23.5611	43.2895	-2.0843	18054.0020	12.1663	19.8067	22.9045
CH3OCH2OCH3+H=CH3OCH2OCH2+H2	15.4329	2.3000	6453.1553	23.2318	28.0734	31.2913	15.8039	1.7468	6192.0156	20.4274	24.7541	27.5229
CH3OCH2OCH3+CH3=CH3OCH2OCH2+CH4	5.5413	3.1200	9345.1250	15.5255	22.3908	26.9048	11.7897	2.0366	7749.2686	16.6469	21.9581	25.3195
CH3OCH2OCH3+O=CH3OCH2OCH2+OH	15.5075	2.1480	3080.7803	25.7558	28.7950	31.0590	13.8169	2.0485	3750.1357	22.7733	26.0803	28.4438
COCO2JOCO2H=COCO2HOC*O+OH	18.3673	1.0850	18604.0000	6.3863	16.5003	21.9333	22.1775	0.5625	19232.0078	6.3175	16.3854	21.6142
COCO2HOCO2J=COC*OOCO2H+OH	23.9966	0.8060	17141.0000	11.7542	20.9386	25.8101	10.1233	1.2703	16309.4414	1.6035	10.6913	15.6754
CH3OCH3=CH3+CH3O	44.5950	-0.6610	84139.0000	-44.1936	-2.3114	18.4006	50.2509	-1.5110	78478.4453	-38.1234	0.3211	19.0197
CH3OCH3+OH=CH3OCH2+H2O	13.7483	2.2900	-780.7002	28.7655	29.9599	31.3508	12.8764	2.0902	2846.0996	23.0019	25.8829	28.0478
