Validation results on test dataset:
R2 of lnk within 500-2000K is 0.9489
Average RMSE of lnk within 500-2000K is 2.7774
Average NRMSE of lnk within 500-2000K is 14.65%

	R2 score	RMSE	MPE	NRMSE
lnA:	0.7438	8.2059	89.84%	35.19%
n:	0.7106	1.0569	105.44%	61.43%
E:	0.9657	3868.3718	112.49%	20.37%
lnk(500K):	0.9621	3.4564	63.11%	20.71%
lnk(1000K):	0.9041	2.5063	17.77%	12.53%
lnk(2000K):	0.6287	2.5222	8.43%	10.07%

Details:
Temp.:	2000	1666	1428	1250	1111	1000	909	833	769	714	666	625	588	555	526	500
RMSE:	2.5222	2.4761	2.4549	2.4545	2.4723	2.5063	2.5550	2.6170	2.6909	2.7757	2.8702	2.9735	3.0845	3.2025	3.3267	3.4564
NRMSE:	10.07%	10.35%	10.75%	11.28%	11.93%	12.53%	13.14%	13.85%	14.58%	15.35%	16.16%	17.04%	17.95%	18.87%	19.78%	20.71%
	Truth						Prediction
Rxn.	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)
C3H6OOH2-1=OH+C3H6O1-2	42.5385	-2.0000	14250.7988	15.7667	21.5517	23.7510	24.6233	0.0726	14414.2871	10.5673	17.8711	21.5482
O2+C3H6OOH1-2=C3H6OOH1-2O2	52.5515	-3.2800	2694.8804	29.4553	28.5379	26.9425	36.4341	-1.2929	87.7090	28.3111	27.4591	26.5850
C3H6OOH1-3O2=C3KET13+OH	12.0257	1.4800	16237.8984	4.8809	14.0780	19.1895	22.8302	0.3868	19395.9023	5.7132	15.7417	20.8900
C4H10=NC3H7+CH3	63.7125	-2.7300	98193.5000	-52.0791	-4.5585	18.2556	57.0430	-1.9967	94552.5312	-50.5270	-4.3303	18.0760
C4H10+HO2=PC4H9+H2O2	3.0350	3.5900	15600.0000	9.6449	19.9836	26.3971	6.0883	3.3445	16414.4414	10.3530	20.9313	27.3796
C4H10+O2=SC4H9+HO2	31.3199	0.0000	49800.0000	-18.8008	6.2596	18.7897	26.9263	1.0866	53618.5469	-20.2850	7.4501	21.6942
C4H10+O=SC4H9+OH	31.6599	0.0000	5200.0000	26.4265	29.0432	30.3516	17.8422	1.8052	5350.0098	23.6767	27.6202	30.2176
C4H10+HO2=SC4H9+H2O2	4.8395	3.3700	13720.0000	11.9743	21.2144	27.0024	4.1156	3.4627	14984.1543	10.5545	20.4950	26.6653
C4H10+CH3O2=SC4H9+CH3O2H	4.8363	3.3700	15220.0000	10.4615	20.4564	26.6218	1.3404	3.7341	15324.9023	9.1227	19.4228	25.8669
PC4H9+O2=PC4H9O2	38.7678	-1.6270	198.7002	28.4566	27.4289	26.3511	38.5527	-1.7534	1485.8857	26.1603	25.6927	24.8511
NC5H12+OH=C5H11-2+H2O	23.3702	0.9350	504.6997	28.6729	29.5749	30.3500	20.0122	1.4806	3280.3652	25.9119	28.5889	30.4405
NC5H12+O2=C5H11-3+HO2	30.2701	0.0000	50160.0000	-20.2129	5.0286	17.6493	29.7176	0.7102	54764.4648	-20.9857	7.0652	21.3368
NC5H12+H=C5H11-3+H2	14.0779	2.4000	4471.0000	24.4931	28.4066	31.1951	16.4577	1.9685	5275.2773	23.3819	27.4010	30.0928
