Validation results on test dataset:
R2 of lnk within 500-2000K is 0.9479
Average RMSE of lnk within 500-2000K is 2.7139
Average NRMSE of lnk within 500-2000K is 15.00%

	R2 score	RMSE	MPE	NRMSE
lnA:	0.7899	6.1980	346.87%	27.92%
n:	0.6694	0.9259	56.80%	63.58%
E:	0.9547	4266.9589	68.62%	22.46%
lnk(500K):	0.9584	3.5086	54.51%	22.45%
lnk(1000K):	0.9060	2.3712	26.68%	12.21%
lnk(2000K):	0.5213	2.5776	9.08%	10.46%

Details:
Temp.:	2000	1666	1428	1250	1111	1000	909	833	769	714	666	625	588	555	526	500
RMSE:	2.5776	2.4709	2.4004	2.3621	2.3532	2.3712	2.4136	2.4779	2.5615	2.6621	2.7773	2.9050	3.0435	3.1911	3.3465	3.5086
NRMSE:	10.46%	10.51%	10.71%	11.07%	11.60%	12.21%	12.89%	13.73%	14.53%	15.44%	16.47%	17.63%	18.84%	20.11%	21.28%	22.45%
	Truth						Prediction
Rxn.	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)
C5H11-3+O2=C5H11O2-3	33.4852	-0.8160	-536.5000	28.9541	28.1185	27.4179	34.8556	-1.1616	-461.9370	28.1015	27.0639	26.1425
C5H11O2-1=C5H10OOH1-2	19.8092	1.1000	30100.0000	-3.6485	12.2608	20.5968	16.1861	1.8081	25339.6191	1.9196	15.9243	23.5532
C5H11O2-1=C5H10OOH1-3	16.4256	1.3000	18200.0000	6.1874	16.2471	21.7275	15.9660	1.8279	25425.8555	1.7361	15.7979	23.4623
C5H11O2-1=C5H10OOH1-4	15.1287	1.2000	16600.0000	5.8793	15.0646	20.0731	16.0924	1.7998	25545.0801	1.5678	15.6701	23.3450
C5H11O2-1=C5H10OOH1-5	12.5917	1.5000	19900.0000	1.8855	12.9392	18.9860	15.6727	1.8014	26909.4609	-0.2147	14.5753	22.5947
C5H11O2-2=C5H10OOH2-1	20.4072	1.1000	33500.0000	-6.4725	11.1479	20.3393	17.1538	1.8212	29366.9492	-1.0842	14.9562	23.6075
C5H11O2-2=C5H10OOH2-3	21.2633	0.9000	29500.0000	-2.8335	12.6353	20.6816	17.3848	1.7063	25439.6875	2.3852	16.3696	23.9532
C5H11O2-2=C5H10OOH2-4	24.9765	0.2000	19500.0000	6.5938	16.5452	21.5903	17.2140	1.7122	25869.1328	1.8189	16.0235	23.7192
C5H11O2-2=C5H10OOH2-5	13.3326	1.5000	20000.0000	2.5258	13.6299	19.7018	16.7619	1.7591	26673.6055	0.8484	15.4904	23.4210
C5H11O2-3=C5H10OOH3-1	17.1748	1.4000	20800.0000	4.9414	16.3787	22.5826	16.7837	1.6461	27568.0391	-0.7319	14.2818	22.3592
C5H11O2-3=C5H10OOH3-2	21.9564	0.9000	30500.0000	-3.1468	12.8252	21.1231	17.4635	1.6500	27551.3125	-0.0109	14.9972	23.0731
C5H10OOH1-3=OH+CH2O+C4H8-1	20.6290	1.4000	25500.0000	3.6652	17.4677	24.8542	15.8182	1.5776	24690.7070	0.7726	14.2909	21.5968
C5H10OOH2-4=OH+CH3CHO+C3H6	20.8888	1.2000	22700.0000	5.5001	17.7550	24.2983	17.4959	1.1200	20907.8809	3.4136	14.7111	20.7481
C5H10OOH3-1=OH+C2H5CHO+C2H4	42.5766	-1.7300	26820.0000	4.8327	17.1299	22.6789	19.7593	1.2020	21649.4648	5.4404	17.1680	23.4484
C5H10OOH1-3=C5H10O1-3+OH	27.5808	0.0000	16620.2793	10.8535	19.2171	23.3990	24.9474	-0.0470	13627.8516	10.9397	17.7649	21.1612
C5H10OOH2-4=C5H10O2-4+OH	27.1753	0.0000	17612.6797	9.4492	18.3123	22.7438	24.0474	0.5489	16554.9512	10.7973	19.5086	24.0545
C5H10OOH3-1=C5H10O1-3+OH	27.1753	0.0000	17334.6816	9.7290	18.4522	22.8137	24.2979	0.3321	17904.7422	8.3417	17.5819	22.3171
C5H10OOH1-3+O2=C5H10OOH1-3O2	32.6866	-0.8160	-536.5000	28.1555	27.3199	26.6193	34.0173	-0.9667	773.2339	27.2312	26.9502	26.4747
C5H10OOH2-4+O2=C5H10OOH2-4O2	32.6866	-0.8160	-536.5000	28.1555	27.3199	26.6193	35.0458	-1.0391	2489.9443	26.0822	26.6149	26.5211
C5H10OOH3-1+O2=C5H10OOH3-1O2	37.9692	-1.6270	198.7002	27.6581	26.6303	25.5525	35.3457	-1.4225	1275.0845	25.2223	24.8780	24.2128
C5H10OOH1-3O2=NC5KET13+OH	9.3038	2.4000	19900.0000	4.1908	15.8684	22.5390	12.9602	2.3570	20256.7891	7.2205	19.0478	25.7784
C5H10OOH2-4O2=NC5KET24+OH	5.1671	3.1000	17500.0000	6.8197	17.7748	24.3267	11.8428	2.1242	21602.8438	3.3020	15.6454	22.5533
C5H10OOH3-1O2=NC5KET31+OH	4.0580	2.9000	17000.0000	4.9709	15.5358	21.8233	10.4843	2.4701	19123.5723	6.5882	17.9237	24.4475
