Validation results on test dataset:
R2 of lnk within 500-2000K is 0.9372
Average RMSE of lnk within 500-2000K is 3.1476
Average NRMSE of lnk within 500-2000K is 16.42%

	R2 score	RMSE	MPE	NRMSE
lnA:	0.6001	11.7464	91.36%	43.71%
n:	0.5514	1.6853	114.70%	82.05%
E:	0.9392	4979.8117	84.29%	28.29%
lnk(500K):	0.9469	4.2288	85.20%	23.76%
lnk(1000K):	0.9061	2.6916	13.95%	13.36%
lnk(2000K):	0.6927	2.7450	8.98%	11.23%

Details:
Temp.:	2000	1666	1428	1250	1111	1000	909	833	769	714	666	625	588	555	526	500
RMSE:	2.7450	2.6394	2.5915	2.5896	2.6252	2.6916	2.7835	2.8963	3.0264	3.1708	3.3271	3.4933	3.6677	3.8491	4.0364	4.2288
NRMSE:	11.23%	11.23%	11.48%	11.95%	12.65%	13.36%	14.23%	15.27%	16.35%	17.38%	18.50%	19.70%	20.85%	21.88%	22.88%	23.76%
	Truth						Prediction
Rxn.	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)
C3H8=C2H5+CH3	65.0020	-2.9200	98522.4062	-52.3015	-4.7471	18.0181	63.6664	-3.5648	84226.5469	-43.2565	-3.3430	15.3783
C3H8+OH=NC3H7+H2O	15.7420	2.0000	677.3086	27.4895	29.2166	30.7733	21.0870	1.3181	5469.7920	23.7736	27.4398	29.7297
C3H8+OH=IC3H7+H2O	12.8316	2.3051	-561.3223	27.7221	29.0374	30.4940	19.4563	1.5808	5104.4883	24.1427	27.8070	30.1871
C3H8+H=NC3H7+H2	14.1527	2.4910	6970.0000	22.6184	27.8525	31.3328	15.1733	2.2767	5494.5156	23.7924	28.1355	31.0961
C3H8+H=IC3H7+H2	13.7124	2.4370	4550.0000	24.2781	28.2569	31.0909	13.4182	2.5540	5927.7471	23.3241	28.0774	31.3391
C3H8+HO2=NC3H7+H2O2	3.0350	3.5900	15600.0000	9.6449	19.9836	26.3971	2.7821	3.3030	13082.0352	10.1426	19.0152	24.5962
C3H8+HO2=IC3H7+H2O2	4.1463	3.3700	13720.0000	11.2812	20.5213	26.3093	4.4428	3.1558	11505.6934	12.4751	20.4524	25.5348
C3H8+CH3=IC3H7+CH4	0.4121	3.4600	5480.0000	16.3994	21.5553	25.3324	7.6309	2.9493	8201.6279	17.7050	23.8765	27.9844
C3H8+CH3=NC3H7+CH4	3.5410	3.4400	10400.0000	14.4522	22.0702	27.0713	8.6644	2.7665	8215.8672	17.5887	23.6407	27.6255
C3H8+CH3O=NC3H7+CH3OH	26.4270	0.0000	7000.0000	19.3820	22.9045	24.6658	22.9801	0.7080	7781.5898	19.5483	23.9549	26.4036
C3H8+CH3O=IC3H7+CH3OH	26.4270	0.0000	7000.0000	19.3820	22.9045	24.6658	22.1763	1.0165	6577.8652	21.8735	25.8882	28.2479
C3H8+O2=NC3H7+HO2	31.3124	0.0000	50900.0000	-19.9154	5.6985	18.5054	30.0965	0.0563	50075.1367	-19.9514	5.2864	17.9248
C3H8+O2=IC3H7+HO2	31.3124	0.0000	47700.0000	-16.6948	7.3088	19.3106	28.2323	0.3188	48994.4844	-19.0966	5.7794	18.3278
C3H8+O=IC3H7+OH	13.2159	2.5000	3140.0000	25.5922	28.9051	31.4281	21.3389	1.3079	3923.1211	25.5188	28.3996	30.2933
C3H8+O=NC3H7+OH	15.1265	2.4000	5505.0000	24.5012	28.9349	31.9836	24.8055	0.8006	4809.2539	24.9406	27.9156	29.6806
NC3H7=C2H4+CH3	25.8109	0.7900	30831.7383	-0.3099	15.7529	24.0580	29.2636	0.1147	28338.9414	1.4553	15.7955	23.0054
O2+NC3H7=NC3H7O2	37.5689	-1.3000	803.4189	28.6813	28.1845	27.4856	36.9586	-1.3329	338.5308	28.3347	27.5812	26.7425
O2+IC3H7=IC3H7O2	67.2878	-5.1500	5036.4502	30.2137	29.1784	26.8759	35.4470	-1.0430	647.6763	28.3135	27.9165	27.3565
NC3H7O2=C3H6OOH1-2	19.1162	1.1000	30100.0000	-4.3415	11.5678	19.9037	18.6825	0.9574	22282.5723	2.2061	14.0827	20.3528
NC3H7O2=C3H6OOH1-3	13.9883	1.6000	21000.0000	2.7965	14.4731	20.8660	23.6725	0.6123	28697.1289	-1.4041	13.4612	21.1061
IC3H7O2=C3H6OOH2-1	20.0020	1.1000	33500.0000	-6.8776	10.7427	19.9341	18.4410	0.9791	25860.4082	-1.5012	12.1909	19.3763
C3H6OOH1-2=OH+C3H6O1-2	33.4422	-0.7460	13073.7988	15.6481	21.7100	24.4824	27.1283	0.0606	17319.0918	10.0745	18.8318	23.2315
C3H6OOH1-3=OH+C3H6O1-2	58.9409	-5.2900	29002.8008	-3.1240	7.8041	11.4347	26.9785	0.0851	17677.8887	9.7156	18.6704	23.1773
C3H6OOH2-1=OH+C3H6O1-2	42.5385	-2.0000	14250.7988	15.7667	21.5517	23.7510	25.4601	0.1975	17062.0469	9.5155	18.2384	22.6683
O2+C3H6OOH1-3=C3H6OOH1-3O2	41.8250	-1.8500	1005.8398	29.3156	28.5395	27.5102	33.3909	-0.7968	515.9639	27.9198	27.6271	27.2047
O2+C3H6OOH1-2=C3H6OOH1-2O2	52.5515	-3.2800	2694.8804	29.4553	28.5379	26.9425	37.1804	-1.3435	718.0938	28.1086	27.5388	26.7882
O2+C3H6OOH2-1=C3H6OOH2-1O2	59.4918	-4.3500	4019.7500	28.4126	27.4202	25.4165	38.1083	-1.4795	1190.8291	27.7155	27.2892	26.5634
C3H6OOH1-3O2=C3KET13+OH	12.0257	1.4800	16237.8984	4.8809	14.0780	19.1895	23.7373	0.2316	18552.8125	6.5046	16.0013	20.8300
C3H6OOH1-2O2=OH+C3KET12	23.6937	0.1540	25611.9980	-1.1262	11.8690	18.4200	8.3257	2.3814	17736.6406	5.2746	15.8507	21.9641
C3H6OOH2-1O2=OH+C3KET21	21.4362	0.5150	23246.5020	1.2406	13.2956	19.5016	8.3507	2.7419	19418.5176	5.8467	17.5190	24.3054
